#{"t_start": 1776489777.5702183, "env_id": "None"}
r,l,t
-217.0,60,567.381794
-132.0,61,568.655952
-131.0,170,568.974693
-102.0,36,569.29622
-212.0,57,569.623059
23.0,44,571.516
-6.0,37,572.144158
-101.0,52,572.468815
-84.0,67,572.795107
-173.0,42,572.795336
-20.0,160,573.119004
-76.0,22,573.441542
2.0,95,577.89366
-45.0,56,577.893967
-569.0,249,577.894107
-396.0,101,579.177001
-36.0,41,579.177283
-311.0,111,579.819862
41.0,36,580.770437
102.0,38,581.09619
-162.0,26,581.42418
210.0,151,582.377223
-64.0,34,583.019352
-68.0,35,583.667633
-164.0,35,584.622151
-250.0,79,584.622455
-270.0,56,585.253679
-132.0,44,585.572174
-288.0,69,586.199543
48.0,31,589.072386
-108.0,30,590.660802
286.0,118,590.661075
-151.0,30,590.982661
-50.0,77,591.305753
-4.0,23,591.947915
-3375.0,689,592.274949
5.0,24,592.275258
-170.0,68,594.508874
-13.0,58,596.432977
-127.0,55,596.761299
-23.0,37,597.409673
-1153.0,205,598.373006
-105.0,60,599.012281
-170.0,49,600.913362
-175.0,74,601.552693
-33.0,75,601.880366
-247.0,66,601.880663
-74.0,31,602.203036
-7.0,37,602.524168
-232.0,56,604.127182
-182.0,66,604.127507
-50.0,46,605.400574
-74.0,44,606.043408
-72.0,37,606.370935
-47.0,20,608.63919
-183.0,154,610.185447
-204.0,34,613.309709
-239.0,94,613.624562
-29.0,47,613.941661
-43.0,32,614.253863
-209.0,62,616.481087
-87.0,25,616.481292
-245.0,33,616.48137
-192.0,149,617.122991
-123.0,66,617.436535
-76.0,40,619.014216
-108.0,93,620.889332
-215.0,98,622.134647
-463.0,183,624.667707
23.0,36,624.667939
-313.0,65,624.668021
-30.0,36,624.979532
-26.0,114,625.289382
139.0,90,625.915874
-172.0,40,626.851126
-43.0,17,627.475247
41.0,47,628.731084
-110.0,43,629.978424
-139.0,43,630.614172
-2990.0,502,630.614543
156.0,81,630.930895
-142.0,39,631.251268
-201.0,47,632.184559
-137.0,194,634.378114
-90.0,60,635.317642
-5415.0,898,635.94137
-39.0,36,635.941627
-137.0,34,637.481289
397.0,175,637.832055
-99.0,38,637.83233
-95.0,41,638.177646
-92.0,47,639.857979
-77.0,32,641.565773
-394.0,126,641.916769
-163.0,45,641.917055
